NODE_L,NODE_R,MATCH_SCORE
F4A2952542A7DC24E31CD3D1035B1019,FAE2990644C40BBD11F190FAA93DEFB4,9
F4A2952542A7DC24E31CD3D1035B1019,FB4728BC245CF74EE96C7ED084061EA6,9
F4A2952542A7DC24E31CD3D1035B1019,FB57158637ED1E75918967A43E14FB01,8
F4A2952542A7DC24E31CD3D1035B1019,FB57CF563D83CF19275BCF2E04B06AFB,9
F4A2952542A7DC24E31CD3D1035B1019,FB5B0F5B712A4EDE3EF158A6E0AC83AA,9
F4A2952542A7DC24E31CD3D1035B1019,FBCF25C249AAD93FE3A100EC8E9EE122,9
F4A2952542A7DC24E31CD3D1035B1019,FBD71A87DC032D1CA9E061E9B0804ED6,9
F4A2952542A7DC24E31CD3D1035B1019,FBDE293432CECD89E456828F248071A4,8
F4A2952542A7DC24E31CD3D1035B1019,FBFB91280B51471CA0F8311517758330,9
F4A2952542A7DC24E31CD3D1035B1019,FC354492C53CB8C8617847C006A92F13,8
F4A2952542A7DC24E31CD3D1035B1019,FCA76032F210AC2B0F13BB79DFC028AA,8
F4A2952542A7DC24E31CD3D1035B1019,FCCBA1D027BECE2A223010B70C7EF746,6
F4A2952542A7DC24E31CD3D1035B1019,FCEFACDB33F8A1DADA8C5E34616FF393,8
F4A2952542A7DC24E31CD3D1035B1019,FCF007735E44F7F708609496B2AFFB7D,9
F4A2952542A7DC24E31CD3D1035B1019,FD24088F86CFD5119771AB290CF53511,8
F4A2952542A7DC24E31CD3D1035B1019,FD41A71C0EB934B8C4BE124C1EAFFA2E,6
F4A2952542A7DC24E31CD3D1035B1019,FD429A5085BF0ED688BBF81F649A5DAA,6
F4A2952542A7DC24E31CD3D1035B1019,FD4D302C58BB22015D108E2662B6C13F,8
F4A2952542A7DC24E31CD3D1035B1019,FDA1A5CCDCEE7D5F06830C3B67B643C0,9
F4A2952542A7DC24E31CD3D1035B1019,FDEF35B59BFCF436C30173A2CCB7F5BC,9
F4A2952542A7DC24E31CD3D1035B1019,FE1DD0F0A6F8AB29E8D573E686ECF439,6
F4A2952542A7DC24E31CD3D1035B1019,FE550A415AF6E7E889E9E4DB62FD16E6,6
F4A2952542A7DC24E31CD3D1035B1019,FE7A860D97C3229E43BC0D79EFEDF691,8
F4A2952542A7DC24E31CD3D1035B1019,FE8A9099C88461C624DA83398A6B5F12,8
F4A2952542A7DC24E31CD3D1035B1019,FF347E652DF62AB86D76898A206B79A2,6
F4A2952542A7DC24E31CD3D1035B1019,FF5021F51EB3FCF469C3041776E80CDB,9
F4A2952542A7DC24E31CD3D1035B1019,FF628CAD5C9F45C61BC9EC803D986BCB,6
F4A2952542A7DC24E31CD3D1035B1019,FFAA785E5FC9CABA6B322EBB63B440DD,6
F4A2952542A7DC24E31CD3D1035B1019,FFCCBD62448C86C5B14F5F558214CD49,6
F4A2952542A7DC24E31CD3D1035B1019,FFF65722C69FEBCBA37DEEFD3D85663C,8
F4A2C28027A589D3D7C89CB2BC82517A,F4A3E3311B6F645155E2E5D4D8461A51,9
F4A2C28027A589D3D7C89CB2BC82517A,F526838F9E38F4FB1A69A0621DC3969F,9
F4A2C28027A589D3D7C89CB2BC82517A,F52BDE1616FD7E2361D5986A608E8BD7,9
F4A2C28027A589D3D7C89CB2BC82517A,F66466F7F7398518A55708D9616DDB2A,8
F4A2C28027A589D3D7C89CB2BC82517A,F6C288EB5CB73FBC8E8B8D6A3EF63DA4,8
F4A2C28027A589D3D7C89CB2BC82517A,F73711E306C6BAD617F24854A935B9D8,8
F4A2C28027A589D3D7C89CB2BC82517A,F75C6DEE519BAE26150100C3AEEA8E14,8
F4A2C28027A589D3D7C89CB2BC82517A,F7917D1A9801497883CEF866D6B34F3E,8
F4A2C28027A589D3D7C89CB2BC82517A,F7C990DA98B45C509660B4356FD97B37,8
F4A2C28027A589D3D7C89CB2BC82517A,F8148438695BA7553AFB1092603EE120,9
F4A2C28027A589D3D7C89CB2BC82517A,F81DCD706CFDE44508A95A143E3D1ACD,8
F4A2C28027A589D3D7C89CB2BC82517A,F83D8B5943F32F5606FFE9AA65F08A76,8
F4A2C28027A589D3D7C89CB2BC82517A,F85D874AD4F54FEB72B75223E20B2842,9
F4A2C28027A589D3D7C89CB2BC82517A,F87A23FCE55D775452F916A61936BA1C,8
F4A2C28027A589D3D7C89CB2BC82517A,F9532C81DCFEF09A7C5AA4B2696E616C,9
F4A2C28027A589D3D7C89CB2BC82517A,F9B6A879A2DE17409197530BFB37CCE6,9
F4A2C28027A589D3D7C89CB2BC82517A,F9D6313FFDFCFE0C34F4DA2A2FD8D95F,8
F4A2C28027A589D3D7C89CB2BC82517A,FA0E7688490576A97F69D30888C25455,9
F4A2C28027A589D3D7C89CB2BC82517A,FA300F78A777F04B92983C11C3484F97,9
F4A2C28027A589D3D7C89CB2BC82517A,FA8C8D9999432B1930F79ED4D087F9F4,8
F4A2C28027A589D3D7C89CB2BC82517A,FB84592F056FA3F7F3A38C28CBECCA0D,8
F4A2C28027A589D3D7C89CB2BC82517A,FBA364EECF8F94F3259DEAC95B3C9F5B,9
F4A2C28027A589D3D7C89CB2BC82517A,FC1655B0D871489FF600AF59A9233891,9
F4A2C28027A589D3D7C89CB2BC82517A,FCC6F90B1CE5ED268EA1B5A79935F35D,9
F4A2C28027A589D3D7C89CB2BC82517A,FD163EBE5E9A87228B4F4C1666E4656F,8
F4A2C28027A589D3D7C89CB2BC82517A,FDB378DC1083FAA911F734EBE64D96A0,8
F4A2C28027A589D3D7C89CB2BC82517A,FDBC657E53B9B9CE692310CDB33FE7EB,9
F4A2C28027A589D3D7C89CB2BC82517A,FDD6A2F2552A5F1E862419E8DDE17456,8
F4A2C28027A589D3D7C89CB2BC82517A,FDED5957AE611A5DAAA969CBA72DE822,9
